id,name,name_nepali,alternate_names,description,food_category,food_type,cuisine,region,district_or_city,ethnic_association,meal_type,diet_type,main_ingredients,spice_level,serving_style,is_traditional,is_festival_food,is_street_food,is_restaurant_food,image_url,image_source,image_license,image_verified,source_url,research_confidence,notes
142,Lapsi Achar,लप्सी अचार,Nepali Hog Plum Pickle,"A tangy-sweet pickle made from lapsi (Nepali hog plum), a favorite among children and adults alike.",Pickle/Achar,Achar,Pan-Nepali,National,,Unknown / Mixed,Side/Snack,Vegan,"Lapsi fruit, sugar/jaggery, spices",Medium,Small bowl,TRUE,FALSE,TRUE,TRUE,,,,FALSE,,High,
143,Khalpi Ko Achar,खल्पीको अचार,Fermented Cucumber Pickle,"A tangy fermented cucumber pickle, popular in eastern hill regions.",Pickle/Achar,Fermented Achar,Hill-region,Hill Region,Ilam / Eastern Hills,Unknown / Mixed,Side,Vegan,"Cucumber, mustard seed, spices, fermented",Medium,Small bowl,TRUE,FALSE,FALSE,TRUE,,,,FALSE,,High,
144,Aam Ko Achar,आँपको अचार,Mango Pickle,A tangy-spicy pickle made from raw green mango.,Pickle/Achar,Achar,Pan-Nepali,National / Terai,,Unknown / Mixed,Side,Vegan,"Raw mango, mustard oil, spices",Medium-Hot,Small bowl,TRUE,FALSE,FALSE,TRUE,,,,FALSE,,High,
145,Sinki,सिन्की,Fermented Radish (dried),"Sun-dried and fermented radish taproot, used in soups and side dishes, a signature hill preserved food.",Ingredient/Side Dish,Fermented Food,Hill-region,Hill Region,,Tamang (strongly associated),Side/Ingredient,Vegan,"Fermented, dried radish",Mild-Medium,Bowl,TRUE,FALSE,FALSE,TRUE,,,,FALSE,,High,
146,Mesu,मेसु,Fermented Bamboo Shoot,"Fermented fresh bamboo shoot, used as an ingredient in curries and pickles across hill and Kirat cuisines.",Ingredient,Fermented Food,Hill-region / Kirat,Hill Region,,Unknown / Mixed,Ingredient,Vegan,Fermented bamboo shoot,Mild-Medium,Used in dishes,TRUE,FALSE,FALSE,FALSE,,,,FALSE,,Medium,
147,Chhurpi Achar,छुर्पी अचार,Yak Cheese Pickle,"A pickle made from dried yak/chauri cheese mixed with chilli and spices, popular Himalayan side.",Pickle/Achar,Achar,Sherpa / Himalayan,Himalayan Region,,Sherpa,Side,Vegetarian,"Chhurpi (dried yak cheese), chilli, spices",Hot,Small bowl,TRUE,FALSE,FALSE,TRUE,,,,FALSE,,Medium,
148,Sel Roti,सेलरोटी,,"A traditional ring-shaped, deep-fried sweet rice bread, a festival staple, especially during Tihar and Dashain.",Bread,Sweet Fried Bread,Pan-Nepali,National,,Unknown / Mixed,Snack/Festival,Vegan,"Rice flour, sugar, ghee/oil",None,Plate,TRUE,TRUE,TRUE,TRUE,,File:Sel roti123.jpg | Wikimedia Commons — Category:Selroti,CC BY-SA 4.0,FALSE,,High,Iconic Nepali festival food Filename confirmed via Commons search; not live URL-verified (see resolver script).
149,Roti,रोटी,Chapati,"A simple whole-wheat unleavened flatbread, a household staple across Nepal.",Bread,Flatbread,Pan-Nepali,National,,Unknown / Mixed,Lunch/Dinner,Vegan,"Whole wheat flour, water",None,Plate,TRUE,FALSE,FALSE,TRUE,,File:Roti.jpg | Wikimedia Commons,CC BY-SA (see file page),FALSE,,High,Filename confirmed via Commons search; not live URL-verified (see resolver script).
150,Makai Ko Roti,मकैको रोटी,Corn Flatbread,"A flatbread made from maize flour, common in hill regions where maize is a staple grain.",Bread,Flatbread,Hill-region,Hill Region,,Unknown / Mixed,Lunch/Dinner,Vegan,"Maize flour, water",None,Plate,TRUE,FALSE,FALSE,FALSE,,,,FALSE,,Medium,
151,Kodo Ko Roti,कोदोको रोटी,Millet Flatbread,"A flatbread made from finger millet flour, a nutritious hill staple.",Bread,Flatbread,Hill-region,Hill Region,,Unknown / Mixed,Lunch/Dinner,Vegan,"Millet flour, water",None,Plate,TRUE,FALSE,FALSE,FALSE,,,,FALSE,,Medium,
152,Paratha,पराठा,,"A layered, pan-fried flatbread, often plain or stuffed, popular breakfast item.",Bread,Flatbread,Pan-Nepali,National,,Unknown / Mixed,Breakfast,Vegan,"Wheat flour, ghee/oil",None,Plate,TRUE,FALSE,FALSE,TRUE,,,,FALSE,,High,
153,Puri,पुरी,,"Deep-fried puffed wheat bread, eaten with curry or sweetened dishes.",Bread,Fried Bread,Pan-Nepali,National,,Unknown / Mixed,Breakfast,Vegan,"Wheat flour, oil",None,Plate,TRUE,FALSE,TRUE,TRUE,,,,FALSE,,High,
154,Sikarni,सिकर्नी,,"A sweetened, spiced whipped yogurt dessert flavored with cardamom, nuts, and sometimes fruit.",Dessert,Dairy Sweet,Pan-Nepali (Newari association),National,,Unknown / Mixed,Dessert/Festival,Vegetarian,"Yogurt, sugar, cardamom, nuts",None,Bowl,TRUE,TRUE,FALSE,TRUE,,,,FALSE,,Medium,
155,Peda,पेडा,,"A soft, dense milk-based sweet, popular across Nepal and often given as gifts.",Dessert,Milk Sweet,Pan-Nepali,National,,Unknown / Mixed,Dessert,Vegetarian,"Khoya (milk solids), sugar",None,Plate,TRUE,TRUE,FALSE,TRUE,,,,FALSE,,High,
156,Barfi,बर्फी,,"A dense milk-based sweet cut into squares/diamonds, common festival sweet.",Dessert,Milk Sweet,Pan-Nepali,National,,Unknown / Mixed,Dessert/Festival,Vegetarian,"Khoya, sugar, nuts",None,Plate,TRUE,TRUE,FALSE,TRUE,,,,FALSE,,High,
157,Laddu,लड्डु,Laddoo,"Round sweet balls made from flour, sugar, and ghee, common at festivals and celebrations.",Dessert,Sweet,Pan-Nepali,National,,Unknown / Mixed,Dessert/Festival,Vegetarian,"Gram flour/semolina, sugar, ghee",None,Plate,TRUE,TRUE,FALSE,TRUE,,File:Buniya Ko Laddu.jpg | Wikimedia Commons — Category:Cuisine of Nepal,CC BY-SA (see file page),FALSE,,High,Filename confirmed via Commons search; not live URL-verified (see resolver script).
158,Rasbari,रसबरी,Rasgulla (Nepali style),"Soft cheese balls soaked in sugar syrup, a popular sweet found in Nepali sweet shops.",Dessert,Milk Sweet,Pan-Nepali,National,,Unknown / Mixed,Dessert,Vegetarian,"Chhena (fresh cheese), sugar syrup",None,Bowl,TRUE,TRUE,FALSE,TRUE,,,,FALSE,,High,
159,Khuwa,खुवा,Khoya,Solidified reduced milk used as a base for many Nepali sweets.,Ingredient,Milk Product,Pan-Nepali,National,,Unknown / Mixed,Ingredient,Vegetarian,Reduced milk,None,Used in sweets,TRUE,FALSE,FALSE,FALSE,,,,FALSE,,Medium,
160,Chiya,चिया,Nepali Milk Tea,"Sweet, spiced milk tea, the most commonly consumed beverage in Nepal.",Beverage,Tea,Pan-Nepali,National,,Unknown / Mixed,Any,Vegetarian,"Tea leaves, milk, sugar, spices",None,Cup,TRUE,FALSE,TRUE,TRUE,,File:Chiya.jpg | Wikimedia Commons — Category:Tea of Nepal,CC BY-SA (see file page),FALSE,,High,Filename confirmed via Commons search; not live URL-verified (see resolver script).
161,Sukumel Chiya,सुकुमेल चिया,Cardamom Tea,Milk tea flavored specifically with cardamom.,Beverage,Tea,Pan-Nepali,National,,Unknown / Mixed,Any,Vegetarian,"Tea leaves, milk, cardamom, sugar",None,Cup,TRUE,FALSE,TRUE,TRUE,,,,FALSE,,Medium,
162,Raksi,रक्सी,,"A traditional distilled alcoholic spirit made from rice, millet, or other grains.",Beverage,Distilled Alcohol,Pan-Nepali (hill origin),Hill Region,,Unknown / Mixed,Any/Ritual,Vegan,"Fermented grain, distilled",N/A,Small cup/shot,TRUE,TRUE,FALSE,TRUE,,,,FALSE,,High,
163,Chhaang,छाङ,"Jaad, Local Beer","A fermented, mildly alcoholic beverage made from rice, millet, or barley, common in hill and Himalayan communities.",Beverage,Fermented Alcohol,Hill-region / Himalayan,Hill/Mountain Region,,Unknown / Mixed,Any/Ritual,Vegan,Fermented grain,N/A,Cup/jug,TRUE,TRUE,FALSE,FALSE,,,,FALSE,,Medium,
164,Jaad,जाँड,Local Rice Beer,"A home-brewed fermented rice or millet beverage, common across hill communities.",Beverage,Fermented Alcohol,Hill-region,Hill Region,,Unknown / Mixed,Any/Ritual,Vegan,Fermented rice/millet,N/A,Cup/jug,TRUE,TRUE,FALSE,FALSE,,,,FALSE,,Medium,
165,Lassi,लस्सी,,"A sweetened or salted yogurt-based drink, popular especially in the Terai and cities.",Beverage,Dairy Drink,Pan-Nepali,National,,Unknown / Mixed,Any,Vegetarian,"Yogurt, sugar/salt, water",None,Glass,TRUE,FALSE,TRUE,TRUE,,File:Mango lassi and Nepalese milk tea at restaurant Everest Dine.jpg | Wikimedia Commons,CC BY-SA (see file page),FALSE,,High,Filename confirmed via Commons search; not live URL-verified (see resolver script).
166,Mohi,मही,Buttermilk,"A thin, seasoned buttermilk drink, a byproduct of butter-making, common in rural households.",Beverage,Dairy Drink,Pan-Nepali,National,,Unknown / Mixed,Any,Vegetarian,"Buttermilk, salt/spices",None,Glass,TRUE,FALSE,FALSE,FALSE,,,,FALSE,,Medium,
167,Buff Chilli,भ्यागुते चिल्ली,Chilli Buff,"Stir-fried buffalo meat in a spicy Indo-Chinese chilli-garlic sauce, a very popular modern Nepali restaurant/bar dish.",Main Course,Stir-fry,Modern Nepali fusion,National,Kathmandu (popularized),Unknown / Mixed,Dinner/Snack,Non-Vegetarian,"Buffalo meat, capsicum, onion, chilli sauce",Hot,Plate,FALSE,FALSE,FALSE,TRUE,,,,FALSE,,High,Popular bar/restaurant food
168,Chicken Chilli,चिकेन चिल्ली,Chilli Chicken,Stir-fried chicken in a spicy Indo-Chinese chilli-garlic sauce.,Main Course,Stir-fry,Modern Nepali fusion,National,Kathmandu (popularized),Unknown / Mixed,Dinner/Snack,Non-Vegetarian,"Chicken, capsicum, onion, chilli sauce",Hot,Plate,FALSE,FALSE,FALSE,TRUE,,,,FALSE,,High,
169,Veg Manchurian,भेज मन्चुरियन,,"Deep-fried vegetable balls tossed in a tangy Indo-Chinese sauce, a widely popular Nepali restaurant dish.",Main Course,Stir-fry,Modern Nepali fusion,National,,Unknown / Mixed,Dinner/Snack,Vegan,"Mixed vegetables, gram flour, sauce",Medium-Hot,Plate,FALSE,FALSE,FALSE,TRUE,,,,FALSE,,High,
170,Buff Fry,भ्यागुते फ्राई,,"Pan-fried spiced buffalo meat pieces, a common bar/restaurant snack.",Snack,Fried Meat,Modern Nepali,National,,Unknown / Mixed,Snack/Appetizer,Non-Vegetarian,"Buffalo meat, spices, oil",Medium-Hot,Plate,FALSE,FALSE,FALSE,TRUE,,,,FALSE,,Medium,
171,Newari Khaja Set,न्यूवारी खाजा सेट,Newari Snack Platter,"A restaurant-style adaptation of Samay Baji served as a mixed snack platter with beaten rice, choila, egg, and achar.",Snack,Meal Set,Newari (restaurant-adapted),National,Kathmandu (popularized),Newar,Snack/Dinner,Non-Vegetarian,"Beaten rice, choila, egg, achar, bara",Medium-Hot,Platter,FALSE,FALSE,FALSE,TRUE,,File:Khaja Set Newari.jpg | Wikimedia Commons,CC BY-SA (see file page),FALSE,,High,Restaurant version of traditional Samay Baji Filename confirmed via Commons search; not live URL-verified.
172,Buff Chowmein,भ्यागुते चाउमिन,,Chowmein noodles stir-fried with buffalo meat.,Main Course,Noodle Dish,Modern Nepali fusion,National,,Unknown / Mixed,Lunch/Dinner,Non-Vegetarian,"Noodles, buffalo meat, vegetables",Medium,Plate,FALSE,FALSE,TRUE,TRUE,,,,FALSE,,Medium,
173,Momo Sadeko,मम: सादेको,,"Boiled/steamed momo tossed cold in a tangy, spicy sesame-mustard oil dressing.",Snack,Salad,Modern Nepali fusion,National,Kathmandu (popularized),Unknown / Mixed,Snack,Vegetarian/Non-Veg variants,"Momo, mustard oil, sesame, spices",Medium-Hot,Bowl,FALSE,FALSE,TRUE,TRUE,,,,FALSE,,Medium,
174,Aalu Ko Achar (Karnali style),आलुको अचार (कर्णाली),,"A Karnali regional variant of potato achar, often incorporating local herbs and less oil due to regional availability.",Side Dish,Achar,Karnali,Karnali,,Unknown / Mixed,Side,Vegan,"Potato, local spices",Mild-Medium,Bowl,TRUE,FALSE,FALSE,FALSE,,,,FALSE,,Low,Regional variation; limited documentation
175,Marcha (Fermentation Starter),मार्चा,,"A traditional fermentation starter cake made from rice and herbs, used to brew local alcohol like raksi and jaad.",Ingredient,Fermentation Starter,Pan-Nepali (hill origin),Hill Region,,Unknown / Mixed,Ingredient,Vegan,"Rice, wild herbs",N/A,Used in brewing,TRUE,FALSE,FALSE,FALSE,,,,FALSE,,Medium,
176,Kodo Ko Raksi,कोदोको रक्सी,Millet Spirit,"A distilled alcoholic spirit made specifically from finger millet, common in Gurung/Tamang hill communities.",Beverage,Distilled Alcohol,Hill-region,Hill Region,,Gurung / Tamang,Any/Ritual,Vegan,"Fermented millet, distilled",N/A,Small cup/shot,TRUE,TRUE,FALSE,FALSE,,,,FALSE,,Medium,
177,Bhuja (Sukuti mixed),सुकुटी भुजा,Dried Meat Snack Mix,"A snack mix combining roasted beaten rice with shredded dried meat and spices, popular as a bar snack.",Snack,Snack Mix,Pan-Nepali,National,,Unknown / Mixed,Snack,Non-Vegetarian,"Beaten rice, dried meat, spices",Medium-Hot,Bowl,TRUE,FALSE,TRUE,TRUE,,,,FALSE,,Low,
178,Gundruk Ko Achar,गुन्द्रुकको अचार,Fermented Green Pickle,"A dry, spiced pickle preparation of gundruk mixed with mustard oil rather than cooked into a soup.",Pickle/Achar,Fermented Achar,Hill-region,Hill Region,,Unknown / Mixed,Side,Vegan,"Gundruk, mustard oil, spices",Medium,Small bowl,TRUE,FALSE,FALSE,TRUE,,,,FALSE,,Medium,
179,Simi Ko Tarkari,सिमीको तरकारी,Bean Curry,"A curry made from broad or green beans, a common household vegetable dish.",Side Dish,Vegetable Curry,Pan-Nepali,National,,Unknown / Mixed,Side/Lunch,Vegan,"Beans, spices",Mild,Bowl,TRUE,FALSE,FALSE,FALSE,,File:Beans Curry.jpg | Wikimedia Commons — Category:Cuisine of Nepal,CC BY-SA (see file page),FALSE,,Medium,Filename confirmed via Commons search; not live URL-verified (see resolver script).
180,Tama Ko Achar,तामाको अचार,Bamboo Shoot Pickle,A tangy pickle made from fermented bamboo shoots.,Pickle/Achar,Fermented Achar,Hill-region,Hill Region,,Unknown / Mixed,Side,Vegan,"Fermented bamboo shoot, mustard oil, spices",Medium-Hot,Small bowl,TRUE,FALSE,FALSE,TRUE,,File:Bamboo Shoots Pickle.jpg | Wikimedia Commons — Category:Cuisine of Nepal,CC BY-SA (see file page),FALSE,,Medium,Filename confirmed via Commons search; not live URL-verified (see resolver script).
181,Selroti Achar Combo,सेलरोटी अचार,,"Sel roti served together with spicy potato achar, a common festive breakfast/snack pairing.",Snack,Combo Dish,Pan-Nepali,National,,Unknown / Mixed,Breakfast/Festival,Vegan,"Sel roti, aloo achar",Medium,Plate,TRUE,TRUE,TRUE,FALSE,,,,FALSE,,Low,
182,Karauli Ko Tarkari,कारेलाको तरकारी,Bitter Gourd Curry,"A curry made from bitter gourd, valued for its distinct bitterness and health benefits.",Side Dish,Vegetable Curry,Pan-Nepali,National,,Unknown / Mixed,Side/Lunch,Vegan,"Bitter gourd, spices",Mild-Medium,Bowl,TRUE,FALSE,FALSE,FALSE,,,,FALSE,,Medium,
183,Bodi Ko Tarkari,बोडीको तरकारी,Black-eyed Pea Curry,"A simple curry made from black-eyed peas, common household dish.",Side Dish,Legume Curry,Pan-Nepali,National,,Unknown / Mixed,Side/Lunch,Vegan,"Black-eyed peas, spices",Mild,Bowl,TRUE,FALSE,FALSE,FALSE,,,,FALSE,,Medium,
184,Farsi Ko Tarkari,फर्सीको तरकारी,Pumpkin Curry,A mildly sweet-savory curry made from pumpkin.,Side Dish,Vegetable Curry,Pan-Nepali,National,,Unknown / Mixed,Side/Lunch,Vegan,"Pumpkin, spices",Mild,Bowl,TRUE,FALSE,FALSE,FALSE,,,,FALSE,,Medium,
185,Iskus Ko Tarkari,इस्कुसको तरकारी,Chayote Squash Curry,"A light curry made from chayote squash, common in hill households.",Side Dish,Vegetable Curry,Hill-region,Hill Region,,Unknown / Mixed,Side/Lunch,Vegan,"Chayote squash, spices",Mild,Bowl,TRUE,FALSE,FALSE,FALSE,,,,FALSE,,Medium,
186,Tarul Ko Tarkari,तरुलको तरकारी,Yam Curry,"A curry made from wild or cultivated yam, common in hill and mountain diets.",Side Dish,Vegetable Curry,Hill-region,Hill/Mountain Region,,Unknown / Mixed,Side/Lunch,Vegan,"Yam, spices",Mild,Bowl,TRUE,FALSE,FALSE,FALSE,,,,FALSE,,Low,
187,Alu Ko Achar (Dahi),दही आलुको अचार,Yogurt Potato Achar,A creamy variation of potato achar mixed with yogurt instead of only mustard oil.,Side Dish,Achar,Karnali / Hill-region,Karnali,,Unknown / Mixed,Side,Vegetarian,"Potato, yogurt, timur, spices",Medium,Bowl,TRUE,FALSE,FALSE,TRUE,,,,FALSE,,Medium,Closely related to Chukauni
188,Masu Ko Momo (Sherpa style),शेर्पा मम:,,A Himalayan-style momo variant with thicker dough and yak meat filling.,Snack,Dumpling,Sherpa / Himalayan,Himalayan Region,,Sherpa,Snack/Lunch,Non-Vegetarian,"Yak meat, flour, spices",Mild-Medium,Plate,TRUE,FALSE,FALSE,FALSE,,,,FALSE,,Low,
189,Kwati Roti,क्वाति रोटी,,A regional pairing of Kwati soup with flatbread rather than rice.,Main Course,Meal Combo,Newari,Kathmandu Valley,,Newar,Lunch/Dinner,Vegan,"Kwati, roti",Mild-Medium,Bowl and plate,TRUE,TRUE,FALSE,FALSE,,,,FALSE,,Low,
190,Dahi (Curd),दही,"Curd, Yogurt","Plain set yogurt, eaten on its own, with rice, or used in cooking; a household staple across Nepal.",Side Dish,Dairy,Pan-Nepali,National,,Unknown / Mixed,Any,Vegetarian,"Milk, yogurt culture",None,Bowl,TRUE,FALSE,FALSE,TRUE,,File:Nepali curd.JPG | Wikimedia Commons — Category:Dahi / Bhaktapur,CC BY-SA 4.0,FALSE,,High,Filename confirmed via Commons search; not live URL-verified.
191,Burger,बर्गर,Cheeseburger,"A bun-based sandwich with a grilled meat or veg patty, cheese, and vegetables; now a staple of Nepali fast-food chains and cafes.",Fast Food,Sandwich/Burger,"International (Western, localized)",National,Kathmandu / Pokhara (urban centers),Unknown / Mixed,Snack/Lunch/Dinner,Vegetarian/Non-Veg variants,"Bun, patty (meat or veg), cheese, vegetables, sauce",Mild-Medium,"Plate, hand-held",FALSE,FALSE,TRUE,TRUE,,File:Cheeseburger.jpg | Wikimedia Commons,Public domain / CC (see file page),FALSE,,High,"Adopted item; not a native Nepali dish, included for market-relevance Filename confirmed via Commons search; not live URL-verified (see resolver script)."
192,Chicken Burger,चिकेन बर्गर,,"A burger with a fried or grilled chicken patty, widely sold at Nepali fast-food outlets.",Fast Food,Sandwich/Burger,"International (Western, localized)",National,Kathmandu / Pokhara (urban centers),Unknown / Mixed,Snack/Lunch/Dinner,Non-Vegetarian,"Bun, chicken patty, lettuce, sauce",Mild-Medium,"Plate, hand-held",FALSE,FALSE,TRUE,TRUE,,,,FALSE,,High,Adopted item
193,Buff Burger,भ्यागुते बर्गर,Buffalo Burger,"A locally adapted burger using a spiced buffalo-meat patty instead of beef, reflecting local ingredient substitution.",Fast Food,Sandwich/Burger,Modern Nepali fusion,National,Kathmandu (popularized),Unknown / Mixed,Snack/Lunch/Dinner,Non-Vegetarian,"Bun, buffalo mince patty, spices, sauce",Medium,"Plate, hand-held",FALSE,FALSE,TRUE,TRUE,,,,FALSE,,Medium,Local substitution since beef is not commonly consumed in Nepal
194,Veg Burger,भेज बर्गर,Vegetable Burger,"A burger with a fried vegetable or paneer patty, common vegetarian fast-food option.",Fast Food,Sandwich/Burger,"International (Western, localized)",National,Kathmandu / Pokhara (urban centers),Unknown / Mixed,Snack/Lunch/Dinner,Vegetarian,"Bun, vegetable/paneer patty, lettuce, sauce",Mild-Medium,"Plate, hand-held",FALSE,FALSE,TRUE,TRUE,,,,FALSE,,High,Adopted item
195,Pizza,पिज्जा,,"A baked flatbread topped with sauce, cheese, and toppings; widely available in Nepali cities via both international chains and local pizzerias.",Fast Food,Baked Dish,"International (Italian-origin, localized)",National,Kathmandu / Pokhara (urban centers),Unknown / Mixed,Lunch/Dinner,Vegetarian/Non-Veg variants,"Flour dough, tomato sauce, cheese, toppings",Mild-Medium,"Sliced, on a tray",FALSE,FALSE,FALSE,TRUE,,File:Eq it-na pizza-margherita sep2005 sml.jpg | Wikimedia Commons — Category:Pizza Margherita,CC BY-SA (see file page),FALSE,,High,Adopted item; both chain and local versions exist Filename confirmed via Commons search; not live URL-verified (see resolver script).
196,Chicken Pizza,चिकेन पिज्जा,,"Pizza topped with chicken pieces, one of the most ordered non-veg pizza variants in Nepal.",Fast Food,Baked Dish,"International (Italian-origin, localized)",National,Kathmandu / Pokhara (urban centers),Unknown / Mixed,Lunch/Dinner,Non-Vegetarian,"Flour dough, tomato sauce, cheese, chicken",Mild-Medium,"Sliced, on a tray",FALSE,FALSE,FALSE,TRUE,,,,FALSE,,High,Adopted item
197,Veg Pizza,भेज पिज्जा,,"Pizza topped with mixed vegetables, a common vegetarian option at Nepali pizzerias.",Fast Food,Baked Dish,"International (Italian-origin, localized)",National,Kathmandu / Pokhara (urban centers),Unknown / Mixed,Lunch/Dinner,Vegetarian,"Flour dough, tomato sauce, cheese, vegetables",Mild,"Sliced, on a tray",FALSE,FALSE,FALSE,TRUE,,,,FALSE,,High,Adopted item
198,Club Sandwich,क्लब स्यान्डविच,,"A multi-layer sandwich with bread, chicken/egg, vegetables, and sauce, common on Nepali cafe and hotel menus.",Fast Food,Sandwich,"International (Western, localized)",National,Kathmandu / Pokhara (urban centers),Unknown / Mixed,Breakfast/Lunch,Vegetarian/Non-Veg variants,"Bread, chicken/egg, lettuce, tomato, sauce",Mild,"Plate, cut into triangles",FALSE,FALSE,FALSE,TRUE,,,,FALSE,,High,Adopted item; common in cafes and hotels
199,Veg Sandwich,भेज स्यान्डविच,,"A simple sandwich with bread and vegetable filling, a common breakfast/tiffin item in Nepali cities.",Fast Food,Sandwich,"International (Western, localized)",National,,Unknown / Mixed,Breakfast/Snack,Vegetarian,"Bread, vegetables, sauce/butter",Mild,Plate,FALSE,FALSE,TRUE,TRUE,,,,FALSE,,High,Adopted item
200,Chicken Sandwich,चिकेन स्यान्डविच,,"A sandwich filled with cooked or grilled chicken, vegetables, and sauce.",Fast Food,Sandwich,"International (Western, localized)",National,,Unknown / Mixed,Breakfast/Lunch/Snack,Non-Vegetarian,"Bread, chicken, lettuce, sauce",Mild,Plate,FALSE,FALSE,TRUE,TRUE,,,,FALSE,,High,Adopted item
201,French Fries,फ्रेन्च फ्राइज,"Fries, Finger Chips","Deep-fried potato strips, now a near-universal side/snack item in Nepali restaurants and street stalls.",Fast Food,Fried Snack,"International (Western, localized)",National,,Unknown / Mixed,Snack/Side,Vegan,"Potato, oil, salt",None-Mild,"Plate, with ketchup/mayo",FALSE,FALSE,TRUE,TRUE,,File:French Fries.JPG | Wikimedia Commons,CC0 (Public Domain),FALSE,,High,Adopted item Filename confirmed via Commons search; not live URL-verified (see resolver script).
202,Fried Chicken (KFC-style),फ्राइड चिकेन,Crispy Fried Chicken,"Batter-coated deep-fried chicken pieces, popular via both international chains and local fast-food outlets.",Fast Food,Fried Meat,"International (Western, localized)",National,Kathmandu / Pokhara (urban centers),Unknown / Mixed,Snack/Lunch/Dinner,Non-Vegetarian,"Chicken, batter/breading, spices, oil",Mild-Medium,Plate/bucket,FALSE,FALSE,TRUE,TRUE,,,,FALSE,,High,Adopted item
203,Hot Dog,हट डग,,"A sausage served in a sliced bun with sauces, sold at Nepali cafes, food courts, and some street stalls.",Fast Food,Sandwich,"International (Western, localized)",National,Kathmandu (popularized),Unknown / Mixed,Snack,Non-Vegetarian,"Bun, sausage, sauce, vegetables",Mild,"Plate, hand-held",FALSE,FALSE,TRUE,TRUE,,,,FALSE,,Medium,Adopted item; sausage is often chicken- or buff-based locally rather than beef/pork
204,Pasta,पास्ता,,"Italian-style pasta served with tomato, cream, or mixed sauces, common on Nepali cafe and restaurant menus.",Fast Food,Noodle/Pasta Dish,"International (Italian-origin, localized)",National,Kathmandu / Pokhara (urban centers),Unknown / Mixed,Lunch/Dinner,Vegetarian/Non-Veg variants,"Pasta, sauce, cheese, vegetables/meat",Mild-Medium,Plate,FALSE,FALSE,FALSE,TRUE,,,,FALSE,,High,Adopted item
205,Chicken Biryani,चिकेन बिरयानी,,"Spiced, layered rice dish cooked with chicken and whole spices, a South Asian import now common in Nepali restaurants, especially in the Terai and cities.",Main Course,Rice Dish,"Madhesi / International (South Asian, localized)",National,Kathmandu / Terai (popularized),Unknown / Mixed,Lunch/Dinner,Non-Vegetarian,"Rice, chicken, whole spices, yogurt, fried onion",Medium-Hot,"Plate, with raita",FALSE,FALSE,FALSE,TRUE,,File:Chicken Biryani.jpg | Wikimedia Commons — Category:Chicken biryani,CC BY-SA 3.0,FALSE,,High,Adopted item; strongest presence in Terai and urban restaurants Filename confirmed via Commons search; not live URL-verified (see resolver script).
206,Mutton Biryani,मटन बिरयानी,Khasi Biryani,"Layered spiced rice dish cooked with goat meat, served at restaurants and for special occasions.",Main Course,Rice Dish,"Madhesi / International (South Asian, localized)",National,Kathmandu / Terai (popularized),Unknown / Mixed,Lunch/Dinner,Non-Vegetarian,"Rice, goat meat, whole spices, yogurt, fried onion",Medium-Hot,"Plate, with raita",FALSE,FALSE,FALSE,TRUE,,,,FALSE,,High,Adopted item
207,Veg Biryani,भेज बिरयानी,,A vegetarian version of biryani made with mixed vegetables and paneer instead of meat.,Main Course,Rice Dish,"Madhesi / International (South Asian, localized)",National,,Unknown / Mixed,Lunch/Dinner,Vegetarian,"Rice, mixed vegetables, whole spices, yogurt",Medium,"Plate, with raita",FALSE,FALSE,FALSE,TRUE,,,,FALSE,,Medium,Adopted item
208,Instant Noodles (cooked),तत्काल चाउचाउ,"Wai Wai Noodles, Chow Chow, Rara Noodles","Packaged instant noodles cooked as a quick soup or dry-fried dish, extremely common as a fast home meal and trekking food across Nepal.",Snack/Main Course,Noodle Dish,Modern Nepali (packaged food),National,,Unknown / Mixed,Snack/Any meal,Vegetarian/Non-Veg variants,"Instant noodle block, seasoning, egg/vegetables optional",Mild-Hot,Bowl,FALSE,FALSE,TRUE,TRUE,,File:Cooked Rara Noodles.jpg | Wikimedia Commons — Category:Food of Nepal,CC BY-SA (see file page),FALSE,,High,Wai Wai and Rara are the two dominant Nepali brands; recipe/spice level varies by brand Filename confirmed via Commons search; not live URL-verified (see resolver script).
209,Khasi Sekuwa,खसी सेकुवा,"Mutton Sekuwa, Goat Sekuwa","Skewered, marinated, and grilled goat meat, a premium version of sekuwa served at restaurants and gatherings.",Main Course,Grilled Meat,Pan-Nepali,National,,Unknown / Mixed,Dinner/Snack,Non-Vegetarian,"Goat meat, mustard oil, spices",Medium-Hot,"Plate, skewered or chopped",TRUE,FALSE,FALSE,TRUE,,,,FALSE,,High,
210,Pork Sekuwa,पोर्क सेकुवा,,"Skewered, marinated, and grilled pork, common among Tamang, Rai/Limbu, and other communities that eat pork.",Main Course,Grilled Meat,Tamang / Kirat,National,,Tamang / Rai / Limbu (common among),Dinner/Snack,Non-Vegetarian,"Pork, mustard oil, spices",Medium-Hot,"Plate, skewered or chopped",TRUE,FALSE,FALSE,TRUE,,,,FALSE,,Medium,
211,Fish Sekuwa,माछा सेकुवा,Machha Sekuwa,"Marinated and grilled whole or filleted fish, popular near rivers and lakeside towns like Pokhara.",Main Course,Grilled Fish,Pan-Nepali,National,Pokhara (associated with lakeside stalls),Unknown / Mixed,Dinner/Snack,Non-Vegetarian,"Fish, mustard oil, spices",Medium-Hot,"Plate, grilled whole or chopped",TRUE,FALSE,TRUE,TRUE,,,,FALSE,,Medium,
